city,QUARTIER,lat,lng,temp,activated
wuppertal,05,51.2405905453,7.1332646853,30.34,True
wuppertal,15,51.2392357181,7.1104509394,26.64,True
wuppertal,72,51.2559724884,7.2183282422,27.93,True
wuppertal,42,51.2231198826,7.1542094202,28.38,True
wuppertal,36,51.2222739471,7.0616996418,30.13,True
wuppertal,38,51.224102537,7.0926349349,30.92,True
wuppertal,31,51.2290379864,7.0513881482,30.77,True
wuppertal,70,51.2676687427,7.2206816231,27.5,True
wuppertal,57,51.2603996419,7.1903725748,26.48,True
wuppertal,55,51.2805634626,7.1978510369,29.03,True
wuppertal,24,51.2658933974,7.111985862,31.32,True
wuppertal,60,51.2789043218,7.2221006305,31.12,True
wuppertal,71,51.2633345412,7.2055143426,28.5,True
wuppertal,12,51.2524535483,7.1135674659,27.58,True
wuppertal,91,51.2294065919,7.2162363285,29.7,True
wuppertal,30,51.2325297376,7.0745581471,30.82,True
wuppertal,02,51.2640680188,7.1548845449,27.72,True
wuppertal,32,51.2399869841,7.0704254215,26.99,True
wuppertal,34,51.2494819449,7.0802908098,31.4,True
wuppertal,53,51.2737615951,7.1684835243,29.85,True
wuppertal,13,51.2581321613,7.1254735837,28.48,True
wuppertal,37,51.2186583734,7.0654573275,27.56,True
wuppertal,01,51.261608235,7.138873923,27.6,True
