city,QUARTIER,lat,lng,temp,activated
wuppertal,44,51.19152192793382,7.129958036777937,28.8,True
wuppertal,85,51.280089411141,7.259022318794263,26.78,True
wuppertal,46,51.191181397250745,7.118045106925125,29.45,True
wuppertal,00,51.25592193279821,7.147688976134952,28.75,True
wuppertal,81,51.26889873490239,7.23700919848804,31.32,True
wuppertal,51,51.26441042684459,7.181337507074507,26.96,True
wuppertal,58,51.25360863281763,7.16966851854485,31.42,True
wuppertal,10,51.24142413016997,7.095505891951111,27.87,True
wuppertal,52,51.266955085781646,7.174278356799994,30.93,True
wuppertal,92,51.22671645677308,7.22490235929923,27.89,True
wuppertal,62,51.28737658087124,7.214828944585625,31.18,True
wuppertal,93,51.22081946065239,7.206743963395238,30.0,True
wuppertal,16,51.226431425794736,7.102175567567423,27.43,True
wuppertal,14,51.2491919995458,7.1281744627972055,26.89,True
wuppertal,84,51.28818942704197,7.247991550421376,27.86,True
wuppertal,61,51.28101353809817,7.215752970667069,26.6,True
wuppertal,54,51.27235744892482,7.185691427263908,31.57,True
wuppertal,35,51.24396193994596,7.087481463394599,27.46,True
wuppertal,80,51.2737420570905,7.243764964461389,26.94,True
wuppertal,82,51.28118728374918,7.245221339242626,31.47,True
wuppertal,03,51.25249830515246,7.15233303592695,31.69,True
wuppertal,50,51.27317892122952,7.200360107628687,28.12,True
wuppertal,83,51.282254752734296,7.23537863017384,26.86,True
