QUARTIER,lat,lng,temp,activated,temp_with_noise
88,51.23032550057222,7.2738004194513195,8,True,8.1
33,51.249716732112205,7.053519721064004,8,True,8.94
22,51.300233706869086,7.157842475895155,8,True,8.05
63,51.298901152292764,7.243342948306747,8,True,7.1
40,51.20137236482624,7.132511493102031,8,True,8.33
25,51.27670375068946,7.098182987315306,8,True,8.45
95,51.23792705025086,7.230550924715674,8,True,7.82
26,51.29228132183436,7.121897477916501,8,True,7.35
86,51.266192256495025,7.253441581568319,8,True,7.82
41,51.22423169813896,7.128011931549994,8,True,7.64
04,51.23863444970184,7.157148843400517,8,True,7.64
94,51.21958652073623,7.182053100220855,8,True,8.56
90,51.232480026881674,7.187438814437885,8,True,7.93
59,51.248992535879374,7.188688308329384,8,True,7.86
45,51.182485486972105,7.138512444060797,8,True,7.33
64,51.2966571677811,7.218741658178848,8,True,7.28
56,51.288386302491446,7.182758210569391,8,True,8.0
43,51.21174346873021,7.145895717834524,8,True,7.36
87,51.24717272265279,7.288481682581823,8,True,7.23
20,51.27714147993322,7.148466899633553,8,True,8.8
11,51.25955420038305,7.098913354131489,8,True,8.67
21,51.28671489060902,7.1642789232434785,8,True,8.4
23,51.27312425236581,7.1301923833411776,8,True,7.22
05,51.24059054530604,7.13326468526548,8,True,8.25
15,51.23923571814698,7.11045093943173,8,True,8.61
72,51.255972488446474,7.218328242186991,8,True,7.83
42,51.22311988258532,7.154209420217888,8,True,8.64
36,51.222273947115475,7.061699641761339,8,True,8.86
38,51.22410253703622,7.092634934926845,8,True,7.02
31,51.22903798637049,7.051388148188422,8,True,8.56
70,51.26766874271637,7.220681623087156,8,True,8.45
57,51.26039964187105,7.190372574799995,8,True,8.65
55,51.28056346261535,7.197851036870457,8,True,7.61
24,51.26589339737923,7.111985862049377,8,True,7.79
